"Id","SalePrice"
1461,120407.408273482
1462,158444.680585484
1463,182633.854449049
1464,187135.467868006
1465,203734.52834358
1466,173895.283116458
1467,171069.006468899
1468,164801.486009835
1469,186975.329783582
1470,126934.534043039
1471,179607.799116874
1472,96962.1100279198
1473,95184.5616972852
1474,147956.940829838
1475,140474.985943901
1476,368937.355268608
1477,267835.630809416
1478,297373.369861435
1479,298559.481120151
1480,478909.597331439
1481,339152.624753998
1482,209866.367155333
1483,170486.460997648
1484,174118.081967544
1485,183087.629114873
1486,193660.338526221
1487,341160.550223249
1488,243287.380800996
1489,201388.60426137
1490,227554.837765848
1491,190651.490709191
1492,91676.2602943149
1493,175880.508836101
1494,307282.499329618
1495,307324.602375337
1496,237156.977513802
1497,184507.346184312
1498,167424.90225832
1499,166735.397615653
1500,148317.050084572
1501,167596.137397321
1502,160565.746796634
1503,279058.355472712
1504,249783.167517624
1505,229991.594561468
1506,188551.460693136
1507,225997.172459453
1508,195632.212501083
1509,169578.778344556
1510,149446.901497465
1511,148770.310969261
1512,174107.678282494
1513,136356.491645822
1514,148701.768529513
1515,177170.391184556
1516,150963.963088713
1517,157892.223617297
1518,138273.092148637
1519,209432.23139629
1520,138475.524790655
1521,140535.438163172
1522,167534.75977835
1523,118902.665111737
1524,127484.865598658
1525,126079.015683844
1526,118535.620518833
1527,106433.562825285
1528,134468.204979079
1529,150538.582114175
1530,169196.957853826
1531,104150.863196239
1532,100507.431115199
1533,139563.920963255
1534,114229.509683749
1535,147099.419221154
1536,115671.734814486
1537,62563.2730545714
1538,160211.8368808
1539,207079.250879061
1540,86708.9515794839
1541,138781.531137918
1542,140844.399392441
1543,214744.774796566
1544,84410.5970787152
1545,110794.013842385
1546,125518.332446628
1547,137208.731271119
1548,133410.258749242
1549,114833.865488531
1550,143154.5567788
1551,115500.714546291
1552,122996.365643653
1553,150568.229718698
1554,114724.446466416
1555,179821.2522798
1556,90296.1640384111
1557,112613.633717492
1558,92339.8621454006
1559,88164.9275788866
1560,142409.315303462
1561,118957.029515072
1562,128790.176625553
1563,121384.819611905
1564,157642.720971042
1565,146346.578921811
1566,247153.432756694
1567,75290.6456132629
1568,236874.531762431
1569,132887.040370546
