"Id","SalePrice"
1461,123847.182830592
1462,154061.708030729
1463,183620.188514523
1464,182095.376792565
1465,191983.603167982
1466,182682.055229085
1467,171897.848947727
1468,177737.453575805
1469,182031.64076344
1470,127675.603048668
1471,174730.670090985
1472,94725.4910292928
1473,94999.5634981535
1474,150301.840109782
1475,153387.440310575
1476,373395.246434336
1477,260119.646581659
1478,313251.684972752
1479,262943.962656453
1480,477941.309779084
1481,315548.120085132
1482,209897.272647663
1483,172844.981136316
1484,175506.422894952
1485,175068.115416093
1486,197084.618743481
1487,324655.671486268
1488,231011.153340563
1489,211651.46566078
1490,194000.64262139
1491,191113.08759758
1492,103366.437856539
1493,165847.971941653
1494,302632.611000601
1495,297497.972011979
1496,230564.99225004
1497,184360.816930872
1498,153051.09332718
1499,152515.324745954
1500,165521.162407005
1501,174794.838805113
1502,167962.212997766
1503,277811.580496594
1504,230672.769986759
1505,223318.344315077
1506,193571.992300871
1507,220756.605799448
1508,193780.10232096
1509,170744.798206765
1510,153398.528430348
1511,152187.390240668
1512,164475.479515284
1513,145128.004956327
1514,144703.713848769
1515,158011.437350309
1516,144789.191007236
1517,149089.505113974
1518,129425.531212753
1519,203456.23743399
1520,139876.740102323
1521,145815.542087687
1522,158832.540713104
1523,124006.183134127
1524,125880.560217678
1525,122468.545878051
1526,126997.045516729
1527,109575.613705064
1528,134108.953426085
1529,146289.456860388
1530,162936.008697732
1531,118836.564479661
1532,105263.977253368
1533,139024.474809221
1534,118592.103768985
1535,143946.040427076
1536,117642.161059084
1537,69594.7023435235
1538,166340.64704049
1539,202623.241983906
1540,107221.898396455
1541,140445.365902182
1542,142973.168687802
1543,194526.633226963
1544,83892.9152385534
1545,101336.910006065
1546,118866.949808206
1547,133550.455579821
1548,132440.072343623
1549,104990.897205383
1550,138193.823667719
1551,113363.705302499
1552,123686.24498694
1553,139063.614175335
1554,113474.587074443
1555,191306.566661208
1556,124503.731339878
1557,131970.507068313
1558,99027.6182031391
1559,123606.767557786
1560,150176.15201001
1561,142552.565775264
1562,128103.113930742
1563,128218.487710448
1564,152769.956534614
1565,155458.41993785
1566,227425.54091348
1567,88676.9476951386
1568,221261.800577994
1569,137344.826589516
1570,122742.049529672
1571,125904.880103719
1572,142557.886369066
1573,205301.162825429
1574,113854.763695812
1575,207787.992657916
1576,199068.054043238
1577,202894.436024587
1578,144171.287629889
1579,140720.014894316
1580,192956.10317029
1581,140837.296180302
1582,131930.024213112
1583,304541.735674158
1584,232672.529584449
1585,139364.602050159
1586,66955.2766262859
1587,99454.2159191701
1588,142834.083200864
1589,99027.9482167276
1590,125681.231047894
1591,106667.913901897
1592,129225.154042342
1593,117852.681103291
1594,134269.97725415
1595,125805.725172398
1596,251919.032658628
1597,176138.337968351
1598,183061.924037437
1599,185099.325395262
1600,182939.74304444
1601,70016.7573705902
1602,102589.578542206
1603,83836.1671319768
1604,283408.134479515
1605,240286.421316429
1606,164454.268081467
1607,143809.291458169
1608,213233.491114715
1609,198764.639047891
1610,166349.857114747
1611,148792.303967367
1612,158193.871397896
1613,151557.923032219
1614,123406.335379865
1615,87105.3698768
1616,81023.1047608919
1617,87076.9265593063
1618,129368.232996171
1619,127603.812373704
1620,147514.495339536
1621,147160.745199609
1622,149314.909366269
1623,253762.603379101
1624,192187.330460234
1625,123044.41462341
1626,165363.398939536
1627,187903.000568287
1628,265300.825314305
1629,174268.319282276
